ModuleName,FunctionName,Covered,Uncovered
vault_utils,clone_vecmap_table,39,39
vault_utils,decimals,2,2
vault_utils,div_d,6,6
vault_utils,div_with_oracle_price,6,6
vault_utils,from_decimals,4,4
vault_utils,from_oracle_price_decimals,4,4
vault_utils,mul_d,6,6
vault_utils,mul_with_oracle_price,6,6
vault_utils,parse_key,11,11
vault_utils,to_decimals,4,4
vault_utils,to_oracle_decimal,25,25
vault_utils,to_oracle_price_decimals,4,4
vault_oracle,add_pyth_aggregator,64,64
vault_oracle,add_switchboard_aggregator,2,2
vault_oracle,asset_aggregator,17,17
vault_oracle,asset_price_last_updated,17,17
vault_oracle,change_pyth_aggregator,70,70
vault_oracle,change_switchboard_aggregator,2,2
vault_oracle,check_version,10,10
vault_oracle,coin_decimals,7,7
vault_oracle,dex_slippage,4,4
vault_oracle,get_asset_price,41,41
vault_oracle,get_current_price,2,2
vault_oracle,get_current_price_v2,95,95
vault_oracle,get_normalized_asset_price,37,37
vault_oracle,get_pyth_object_identifier,10,10
vault_oracle,has_aggregator,5,5
vault_oracle,init,10,10
vault_oracle,is_rate_feed,4,4
vault_oracle,remove_pyth_aggregator,28,28
vault_oracle,remove_switchboard_aggregator,2,2
vault_oracle,set_dex_slippage,11,11
vault_oracle,set_pyth_aggregator_for_vsui,60,60
vault_oracle,set_update_interval,29,29
vault_oracle,update_interval,4,4
vault_oracle,update_price,2,2
vault_oracle,update_price_v2,77,77
vault_oracle,update_price_v2_for_vsui,149,153
vault_oracle,upgrade_oracle_config,22,22
vault_oracle,vsui_asset_type,3,3
withdraw_request,expected_amount,4,4
withdraw_request,new,9,9
withdraw_request,receipt_id,4,4
withdraw_request,recipient,4,4
withdraw_request,request_id,4,4
withdraw_request,request_time,4,4
withdraw_request,shares,4,4
withdraw_request,vault_id,4,4
vault_receipt_info,claimable_principal,4,4
vault_receipt_info,get_receipt_reward,18,18
vault_receipt_info,get_receipt_rewards,40,40
